# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Raul_May_2019
# Description:	 	Au_10cm-1_1024px_CEN_600cm-1
# Date:	 	05/18/2019 15:12:53
# Scanner Center Position (X, Y):	[µm]	49.76	49.71	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	600.000	500.000	 
# Averaging:	 	40	 	 
# Integration time:	[ms]	20	 	 
# Laser Source:	 	Synchrotron
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	237,581.187	 	 
# Tip Amplitude:	[mV]	22.000	 	 
# Tapping Amplitude:	[nm]	92.004	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	73.54	 	 
# Regulator (P, I, D):	 	3.507821	9.892523	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	4.978	 	 
# Version:	 	1.8.4702.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	8.053635	0	0.7190955	-3.141591	0.06321782	-3.141592	0.1283688	-3.141593	0.07658069	-3.141592	0.001403771	-4.318726E-08	
0	0	1	2.451256674725	7.747671	-1.059065	1.384143	-3.012888	0.0999935	-3.09468	0.1349641	2.734927	0.1584361	1.286937	0.001473923	-0.3240497	
0	0	2	4.90251334945	6.8451	-2.13329	2.232362	2.595033	0.1493623	2.596558	0.1567841	2.265973	0.2707775	0.2695029	0.001691358	-0.7111543	
0	0	3	7.353770024175	5.427605	3.026887	2.708868	1.766853	0.1723823	1.818954	0.193473	1.666215	0.3550763	-0.6235814	0.002010221	-1.22188	
0	0	4	9.8050266989	3.770941	1.75677	2.713552	0.8949245	0.1628452	0.956153	0.2384876	0.9207965	0.3945716	-1.510579	0.002291394	-1.867877	
0	0	5	12.256283373625	2.700269	0.1140062	2.308667	0.01210984	0.1295638	0.001479722	0.2856102	0.05855985	0.3835527	-2.440281	0.002375538	-2.633618	
0	0	6	14.70754004835	3.264999	-1.608831	1.663869	-0.8466696	0.09193221	-1.114344	0.3330577	-0.8797061	0.3308032	2.81095	0.002169321	2.763454	
0	0	7	17.158796723075	4.462795	-2.923242	1.008339	-1.581213	0.07286638	-2.408463	0.3803843	-1.851041	0.2703618	1.573746	0.001715535	1.703874	
0	0	8	19.6100533978	5.170914	2.241539	0.6421722	-1.941643	0.07564016	2.731827	0.4226459	-2.818606	0.267452	0.1266742	0.001282158	0.3248187	
0	0	9	22.061310072525	5.010601	1.190665	0.7689934	-2.321856	0.08532285	1.911881	0.4489005	2.523226	0.3436147	-1.198036	0.001308775	-1.302538	
0	0	10	24.51256674725	3.9948	0.1623515	1.071237	3.10259	0.09945539	1.259655	0.4468212	1.617148	0.4413416	-2.303297	0.001659706	-2.727817	
0	0	11	26.963823421975	2.393188	-0.8473615	1.358567	2.058436	0.1168224	0.5863966	0.4090755	0.749271	0.5118319	2.994424	0.001921693	2.237651	
0	0	12	29.4150800967	0.6287562	-1.549851	1.556224	0.9698521	0.1266256	-0.1980579	0.337239	-0.07644685	0.5313824	2.073796	0.002142395	0.8400563	
0	0	13	31.866336771425	1.281384	-0.358075	1.590536	-0.131335	0.1181404	-1.12832	0.241866	-0.8464338	0.4939353	1.204538	0.002742997	-0.5873703	
0	0	14	34.31759344615	2.972477	-1.40967	1.422979	-1.260938	0.09339457	-2.308372	0.1397243	-1.507428	0.4086815	0.4030283	0.003839665	-1.853913	
0	0	15	36.768850120875	4.765125	-2.555251	1.089338	-2.475558	0.08288318	2.364585	0.05515357	-1.713015	0.3011786	-0.2700665	0.005021828	-2.957962	
0	0	16	39.2201067956	6.621336	2.617545	0.722129	2.357925	0.1187875	0.8252034	0.05919448	-0.9530045	0.2188376	-0.6979324	0.005776211	2.314221	
0	0	17	41.671363470325	8.161436	1.568584	0.582495	0.4987673	0.1684956	-0.3692346	0.1027802	-1.296909	0.2109861	-0.9922877	0.005705933	1.353622	
0	0	18	44.12262014505	8.827033	0.5798419	0.7585818	-1.222778	0.2003637	-1.436307	0.1261161	-1.904672	0.2436437	-1.545622	0.004624429	0.4257278	
0	0	19	46.573876819775	8.191031	-0.3483171	0.9884217	-2.632251	0.2008181	-2.480946	0.1260166	-2.575106	0.256072	-2.362295	0.002606469	-0.4549499	
0	0	20	49.0251334945	6.226477	-1.188271	1.155163	2.359862	0.1688717	2.717266	0.1052629	2.998563	0.2368988	2.887445	0.0003012342	0.276226	
0	0	21	51.476390169225	3.540478	-1.785243	1.226064	1.123695	0.1158847	1.47864	0.06943056	2.233961	0.2208462	1.62198	0.002862269	0.6115907	
