# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Raul_May_2019
# Description:	 	SnO2_nanowire1 _10cm-1_1024px
# Date:	 	05/18/2019 17:11:19
# Reference:	 	05/18/2019 15:12:53 Au_10cm-1_1024px_CEN_600cm-1
# Scanner Center Position (X, Y):	[µm]	39.05	39.59	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	600.000	500.000	 
# Averaging:	 	40	 	 
# Integration time:	[ms]	20	 	 
# Laser Source:	 	Synchrotron
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	237,581.187	 	 
# Tip Amplitude:	[mV]	22.000	 	 
# Tapping Amplitude:	[nm]	96.868	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	73.54	 	 
# Regulator (P, I, D):	 	3.507821	9.892523	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	4.978	 	 
# Version:	 	1.8.4702.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1845866	-3.141593	
0	0	1	2.451256674725	0	0	0	0	0	0	0	0	0	0	1.161945	-2.197464	
0	0	2	4.90251334945	0	0	0	0	0	0	0	0	6.399783	0.9781662	1.827091	-2.535959	
0	0	3	7.353770024175	0	0	0	0	0	0	0	0	5.14348	0.9658987	1.959469	-2.788834	
0	0	4	9.8050266989	0	0	0	0	0	0	0	0	4.621973	0.9594168	1.814137	-2.89975	
0	0	5	12.256283373625	0	0	0	0	0	0	0	0	4.358111	0.9833714	1.597147	-2.86281	
0	0	6	14.70754004835	0	0	0	0	0	0	0	0	4.141119	1.060966	1.394943	-2.647573	
0	0	7	17.158796723075	0	0	0	0	0	0	0	0	3.664781	1.219364	1.229667	-2.137008	
0	0	8	19.6100533978	0	0	0	0	0	0	1.116846	2.737735	2.621686	1.319762	1.068907	-1.034711	
0	0	9	22.061310072525	0	0	0	0	0	0	1.123443	2.311943	1.983866	1.148887	0.9268038	0.6290852	
0	0	10	24.51256674725	0	0	0	0	0	0	1.246312	2.051183	1.790203	1.03386	0.9626499	1.874177	
0	0	11	26.963823421975	0	0	0	0	0	0	1.360775	1.845143	1.561868	1.019448	1.108453	2.725029	
0	0	12	29.4150800967	0	0	0	0	0	0	0	0	1.209163	1.045492	1.233701	-2.781313	
