# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Raul_May_2019
# Description:	 	Au referencia
# Date:	 	05/19/2019 23:34:43
# Scanner Center Position (X, Y):	[µm]	49.79	50.07	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	600.000	500.000	 
# Averaging:	 	40	 	 
# Integration time:	[ms]	20	 	 
# Laser Source:	 	Synchrotron
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	237,595.092	 	 
# Tip Amplitude:	[mV]	18.700	 	 
# Tapping Amplitude:	[nm]	88.575	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	70.46	 	 
# Regulator (P, I, D):	 	1.654753	8.971036	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	4.978	 	 
# Version:	 	1.8.4702.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	1.69223	3.141593	0.2934389	-3.141589	0.1717097	-5.317935E-07	0.08963013	-4.344719E-07	0.00244762	-3.14158	0.0003602215	-3.141593	
0	0	1	2.451256674725	2.739472	1.372124	0.353637	2.588158	0.5278307	-2.160952	0.2682868	-2.125719	0.06287439	-2.429605	0.001999682	0.8498492	
0	0	2	4.90251334945	3.901839	0.3029989	0.457696	1.692774	0.9002371	3.055538	0.4710364	3.107606	0.1178787	3.091212	0.003768846	-0.1390924	
0	0	3	7.353770024175	4.009288	-0.5197842	0.5339572	0.5656975	1.087201	2.081239	0.6023469	2.153422	0.164797	2.389299	0.00519021	-1.071471	
0	0	4	9.8050266989	3.249435	-1.063131	0.5774425	-0.7049202	1.059656	1.116434	0.643549	1.211119	0.2165994	1.753353	0.006097858	-1.990934	
0	0	5	12.256283373625	3.118345	-1.208391	0.6003193	-2.072428	0.8557709	0.1268664	0.5995334	0.2529339	0.292651	1.113711	0.006370283	-2.90486	
0	0	6	14.70754004835	4.492623	-1.580469	0.6130997	2.745823	0.5634996	-0.9429067	0.4943029	-0.7469894	0.3976318	0.3993108	0.005950494	2.471413	
0	0	7	17.158796723075	5.811834	-2.318201	0.6745515	1.166083	0.3012632	-2.259287	0.3645157	-1.828897	0.5138522	-0.3982987	0.004870521	1.582378	
0	0	8	19.6100533978	6.03072	3.041206	0.8884944	-0.3886176	0.1985634	2.267993	0.2506396	-3.053297	0.6111565	-1.25806	0.003275943	0.7522361	
0	0	9	22.061310072525	5.023481	1.943152	1.244419	-1.765537	0.197551	0.8523813	0.18106	1.849325	0.658385	-2.161948	0.001526654	0.2272391	
